prompt_hash,geo_level,primary_market,submarket,market,property_type,broker_role,prompt,citation_count,model
9b66448af8ba5d3103db4218a74e066b671c80a05d948d4f05a182618b831cb3,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",retail,sales,"Who sells regional shopping centers over 100,000 SF in the Conway submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
6c8c67d83e4dd0187b69c6e638b1f3ed00f86c3f056658514704c652100f1dfd,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",retail,leasing,"Who handles urban street retail leasing in Myrtle Beach, South Carolina?",2,gpt-4.1-web
b6ec270d10e757e6e1c93e671e7e880d4a0795c67435e27d229365e879a3f8d0,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",retail,leasing,"Who specializes in neighborhood retail leasing in the Conway submarket of Myrtle Beach, South Carolina?",3,gpt-4.1-web
2fa48cce7aa38327fe9e4bc39d72b614070dc9aa9622fb43f07eeeab9d66f345,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",retail,leasing,"Who leases flagship retail space in Myrtle Beach, South Carolina?",7,gpt-4.1-web
359029572505c9b486000b17f9ce6438009cfbc8400832fd826fcb481e4a7c75,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",retail,leasing,"Who handles urban street retail leasing in the Conway submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
d4b4b59cbc2a34599da7079e2afdd83890f733df0cdd37ab5d073f57bbeff8fa,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",retail,leasing,"Who dominates small-shop retail leasing in the Conway submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
146d41044c4ad2955a5e1e156d788266229a16429d9541a5e96c6dfc6667ee21,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",retail,leasing,"Who dominates small-shop retail leasing in Myrtle Beach, South Carolina?",7,gpt-4.1-web
776a7b12212554fb7b826c3f87217877be73115d994e1de6decf72fed8d4041a,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",retail,leasing,"Who dominates high-street retail leasing in Myrtle Beach, South Carolina?",4,gpt-4.1-web
2e30dfa3bbdb79c47c1e90b37caca205834310ba120b43507a6bfedee5bb3457,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",retail,leasing,"Who dominates high-street retail leasing in the Conway submarket of Myrtle Beach, South Carolina?",2,gpt-4.1-web
d2662ee5b47b22ae408d5062fe9975c52b2487b65c6f841428cdec06cbe96602,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",retail,leasing,"Who specializes in QSR and drive-thru retail leasing in Myrtle Beach, South Carolina?",7,gpt-4.1-web
